spatial_offset_m,pass_rate_pct,pass_count,trial_count,median_rms_m,p95_rms_m
0,95,19,20,10.7586207681376,11.0160051662374
5,50,40,80,11.1764087287387,11.6778298701516
10,17.5,14,80,11.9476457014149,12.8672552651583
15,0,0,80,13.1628159447168,14.4996197838514
20,0,0,80,14.7004836720675,16.3734130108245
25,0,0,80,16.4685630128863,18.4147777613057
30,0,0,80,18.4087022752545,20.5739125025682
35,0,0,80,20.4715126735592,22.8174091636369
40,0,0,80,22.6231142904994,25.1226769291633
45,0,0,80,24.8402330621936,27.4741711698956
50,0,0,80,27.1066717202043,29.8609731442431
55,0,0,80,29.4109563070848,32.275250636542
60,0,0,80,31.7448021573867,34.7112710956503
65,0,0,80,34.1027482988071,37.1647592440022
70,0,0,80,36.4851375207838,39.6330680919943
75,0,0,80,38.830646733876,42.1421655060574
80,0,0,80,41.1344797733116,44.6665987758248
85,0,0,80,43.4479121628794,47.2001283337944
90,0,0,80,45.769488230907,49.7413642679259
95,0,0,80,48.0980286885994,52.2891830104488
100,0,0,80,50.4325688042859,54.8426671193487
