east_offset_m,north_offset_m,residual_rms_m,residual_std_m,satellite_count,row_count
-300,-300,218.882561630933,219.37059470421,45,225
-300,-240,200.14724781999,200.593507566466,45,225
-300,-180,183.992764916084,184.4030057039,45,225
-300,-120,171.151459403309,171.533068482196,45,225
-300,-60,162.411115462305,162.773236570642,45,225
-300,0,158.451818311763,158.805111544814,45,225
-300,60,159.629705984715,159.985625503463,45,225
-300,120,165.835338270957,166.205094222236,45,225
-300,180,176.539298627638,176.932920740891,45,225
-300,240,190.986734429469,191.412569371568,45,225
-300,300,208.40053214608,208.865193887143,45,225
-240,-300,196.152431292977,196.589783968134,45,225
-240,-240,175.296484388729,175.687335452301,45,225
-240,-180,156.929952097508,157.27985209064,45,225
-240,-120,142.021933709561,142.33859393258,45,225
-240,-60,131.751709220045,132.045470363377,45,225
-240,0,127.247222455602,127.530940137715,45,225
-240,60,129.113337614064,129.401216093224,45,225
-240,120,137.090130711232,137.395794704327,45,225
-240,180,150.207195774379,150.542106325662,45,225
-240,240,167.259508537393,167.63243990012,45,225
-240,300,187.174583249049,187.59191840093,45,225
-180,-300,176.070926518274,176.463504322294,45,225
-180,-240,152.832550397204,153.17331458925,45,225
-180,-180,131.756125578739,132.049896569036,45,225
-180,-120,114.046620903127,114.30090576932,45,225
-180,-60,101.48226382394,101.708534481264,45,225
-180,0,96.1026903720236,96.3169664248208,45,225
-180,60,99.085112355919,99.3060381872814,45,225
-180,120,109.749911744052,109.994616421853,45,225
-180,180,126.16367972731,126.444981480608,45,225
-180,240,146.40542485845,146.731858763946,45,225
-180,300,169.106068014689,169.483116571998,45,225
-120,-300,159.640722916846,159.996666999576,45,225
-120,-240,133.961613587961,134.260302060416,45,225
-120,-180,109.778585656456,110.023354267253,45,225
-120,-120,88.3290911845168,88.5260347761365,45,225
-120,-60,72.0956408582651,72.2563894209452,45,225
-120,0,65.1044790212338,65.2496396897862,45,225
-120,60,70.1744946264906,70.3309596916974,45,225
-120,120,85.1785009743218,85.3684198298846,45,225
-120,180,105.978022527307,106.214317185266,45,225
-120,240,129.81659548225,130.106041985358,45,225
-120,300,155.300981045588,155.647248991731,45,225
-60,-300,148.082220701594,148.412393286966,45,225
-60,-240,120.385355595408,120.653773666866,45,225
-60,-180,93.2844768922539,93.4924692951549,45,225
-60,-120,67.5012557266065,67.6517603855287,45,225
-60,-60,45.3421173206231,45.4432146976822,45,225
-60,0,34.6475675749837,34.7248197725055,45,225
-60,60,44.6100280887272,44.7094931577801,45,225
-60,120,66.5184611917775,66.666774555817,45,225
-60,180,92.2193213650076,92.4249388362484,45,225
-60,240,119.285972944691,119.551939769738,45,225
-60,300,146.965717356651,147.293400522333,45,225
0,-300,142.585140283861,142.903056264458,45,225
0,-240,114.011176126035,114.265381962526,45,225
0,-180,85.5081513580053,85.6988052209102,45,225
0,-120,57.1822114450709,57.3097081729069,45,225
0,-60,29.5470544596562,29.6129342615315,45,225
0,0,11.0140540850282,11.0386116497071,45,225
0,60,31.8534811404422,31.9245034831071,45,225
0,120,59.6072908428302,59.740194666337,45,225
0,180,87.9571489108665,88.1532631987284,45,225
0,240,116.468592776694,116.728277809844,45,225
0,300,145.046352497973,145.369756138033,45,225
60,-300,143.846080507977,144.166807952986,45,225
60,-240,116.032138970597,116.290850861388,45,225
60,-180,88.7709911393374,88.9689200163605,45,225
60,-120,62.7868277007909,62.9268208014554,45,225
60,-60,40.6096533289232,40.7001989337039,45,225
60,0,31.6411057729107,31.7116545913143,45,225
60,60,44.701551430169,44.8012205648965,45,225
60,120,68.1200953850608,68.2719798442656,45,225
60,180,94.485510706717,94.6961810032757,45,225
60,240,121.900442121172,122.172238316168,45,225
60,300,149.789724739309,150.123704473305,45,225
120,-300,151.696611933293,152.034843371996,45,225
120,-240,126.04507471525,126.326112020033,45,225
120,-180,102.019255174562,102.246723138503,45,225
120,-120,81.0774990083606,81.2582740354793,45,225
120,-60,66.2137009383516,66.3613347915064,45,225
120,0,61.9677701737928,62.1059370569683,45,225
120,60,70.2908810918971,70.4476056590212,45,225
120,120,87.6736022971716,87.8690843732928,45,225
120,180,109.897945112167,110.142979853629,45,225
120,240,134.586393960365,134.886475478857,45,225
120,300,160.606581160602,160.964678776092,45,225
180,-300,165.199951131046,165.568290386832,45,225
180,-240,142.37366006122,142.691104513422,45,225
180,-180,122.043281929549,122.315396608348,45,225
180,-120,105.65950352038,105.895087990151,45,225
180,-60,95.2804240795096,95.4928667603708,45,225
180,0,92.9400038955205,93.1472282417339,45,225
180,60,99.2087803283352,99.4299818968792,45,225
180,120,112.658637466786,112.909827605756,45,225
180,180,131.097673145437,131.389976012544,45,225
180,240,152.729408081964,153.069942302007,45,225
180,300,176.383052578329,176.776326316458,45,225
240,-300,183.109749226348,183.518021191899,45,225
240,-240,163.132314306218,163.496043440729,45,225
240,-180,146.082824527565,146.40853914492,45,225
240,-120,133.091304331376,133.388052312555,45,225
240,-60,125.425113295509,125.704768298866,45,225
240,0,124.075295555471,124.351940928024,45,225
240,60,129.239897586801,129.528058251311,45,225
240,120,140.20082597024,140.513425747327,45,225
240,180,155.739001106485,156.086245687199,45,225
240,240,174.636885538655,175.02626592292,45,225
240,300,195.924688724709,196.361533612015,45,225
300,-300,204.270240946964,204.725693554634,45,225
300,-240,186.850313289758,187.266925430798,45,225
300,-180,172.466852869507,172.85139482487,45,225
300,-120,161.9310183341,162.292068990432,45,225
300,-60,156.02420879643,156.372089292515,45,225
300,0,155.275588901914,155.621800232283,45,225
300,60,159.75767620748,160.113881055953,45,225
300,120,169.054930720358,169.431865259031,45,225
300,180,182.432639800056,182.839402043719,45,225
300,240,199.069853496833,199.51371102333,45,225
300,300,218.222320573771,218.70888153584,45,225
