epoch_idx,time,row_count,satellite_count,rms_m,std_m
1,2026-01-08 05:59:39,45,45,11.013047677578,11.1374928442864
2,2026-01-08 05:59:39,45,45,11.0121992661361,11.1366348459702
3,2026-01-08 05:59:39,45,45,11.0110765106303,11.1354994035588
4,2026-01-08 05:59:39,45,45,11.0180478296761,11.1425494970715
5,2026-01-08 05:59:39,45,45,11.0158976576145,11.1403750285092
6,2026-01-08 05:59:39,45,45,11.0141998333004,11.1386580191307
7,2026-01-08 05:59:39,44,44,10.7586024898663,10.882983529386
8,2026-01-08 05:59:39,44,44,10.7556512289906,10.879998148754
9,2026-01-08 05:59:39,44,44,10.7506221007798,10.874910878401
10,2026-01-08 05:59:39,44,44,10.7461923116166,10.870429876101
11,2026-01-08 05:59:39,44,44,10.7418443766315,10.8660316743017
12,2026-01-08 05:59:39,44,44,10.7453218221919,10.8695493228805
13,2026-01-08 05:59:39,44,44,10.7486529156513,10.8729189273702
14,2026-01-08 05:59:39,44,44,10.7502537789949,10.8745382984193
15,2026-01-08 05:59:39,44,44,10.760097596074,10.8844959206327
16,2026-01-08 05:59:39,44,44,10.7499129696554,10.8741935489566
17,2026-01-08 05:59:39,44,44,10.75548657003,10.8798315861583
18,2026-01-08 05:59:40,44,44,10.7586390462323,10.8830205083829
19,2026-01-08 05:59:40,44,44,10.7648544671239,10.8893077862386
20,2026-01-08 05:59:40,44,44,10.7658099885963,10.8902743545689
