time_offset_s,pass_rate_pct,pass_count,trial_count,median_rms_m,p95_rms_m
-5,0,0,20,1976.56785956923,1989.25759683645
-4.9,0,0,20,1937.06691958735,1949.51231480706
-4.8,0,0,20,1897.56600587741,1909.76706518173
-4.7,0,0,20,1858.06493932773,1870.02184959754
-4.6,0,0,20,1818.56350080858,1830.27666979009
-4.5,0,0,20,1779.06209372438,1790.53152763886
-4.4,0,0,20,1739.56130226198,1750.78609163285
-4.3,0,0,20,1700.06054639709,1711.04101366275
-4.2,0,0,20,1660.55982858425,1671.29599774687
-4.1,0,0,20,1621.05915142953,1631.55097248564
-4,0,0,20,1581.55851787476,1591.80605395502
-3.9,0,0,20,1542.05793665501,1552.06118892081
-3.8,0,0,20,1502.55740021563,1512.31625338496
-3.7,0,0,20,1463.05691805033,1472.57151205794
-3.6,0,0,20,1423.55649448316,1432.82683637588
-3.5,0,0,20,1384.05623732851,1393.08223130999
-3.4,0,0,20,1344.55584881081,1353.33770241182
-3.3,0,0,20,1305.05563259342,1313.59325595994
-3.2,0,0,20,1265.55549820838,1273.84890930196
-3.1,0,0,20,1226.05545333933,1234.1036752534
-3,0,0,20,1186.5555067629,1194.35950722589
-2.9,0,0,20,1147.0557966798,1154.61546526756
-2.8,0,0,20,1107.55607789219,1114.87155156213
-2.7,0,0,20,1068.05546240075,1075.12777954051
-2.6,0,0,20,1028.55603116812,1035.38416464773
-2.5,0,0,20,989.056809089592,995.640724781218
-2.4,0,0,20,949.55777258252,955.897480872939
-2.3,0,0,20,910.05890168876,916.154379439154
-2.2,0,0,20,870.56026856492,876.411638461659
-2.1,0,0,20,831.061906776477,836.669350055221
-2,0,0,20,791.563856656829,796.927192834797
-1.9,0,0,20,752.066166963103,757.185399711161
-1.8,0,0,20,712.56889725936,717.444044743311
-1.7,0,0,20,673.072035665014,677.703205886575
-1.6,0,0,20,633.575835685632,637.96304922836
-1.5,0,0,20,594.080337098976,598.223537599195
-1.4,0,0,20,554.585689268518,558.484904600312
-1.3,0,0,20,515.092087379707,518.746319816642
-1.2,0,0,20,475.599609652754,479.010116393185
-1.1,0,0,20,436.108973779783,439.275620940441
-1,0,0,20,396.620493308807,399.543340724429
-0.899999999999999,0,0,20,357.134467179073,359.814007037128
-0.8,0,0,20,317.652065833162,320.088714225038
-0.7,0,0,20,278.176043476817,280.36917662429
-0.6,0,0,20,238.708436393581,240.658240100777
-0.5,0,0,20,199.254238494992,200.960989056729
-0.399999999999999,0,0,20,159.823378986927,161.287147073605
-0.3,0,0,20,120.438780282756,121.660791842749
-0.199999999999999,0,0,20,81.1678076398511,82.1497226596326
-0.0999999999999996,0,0,20,42.3279047105988,43.0720385846672
0,95,19,20,10.7586207680493,11.0160051662175
0.0999999999999996,0,0,20,39.5032960833084,39.5083776984524
0.199999999999999,0,0,20,78.2722996703619,78.3115483311132
0.3,0,0,20,117.529416225967,117.802796832851
0.399999999999999,0,0,20,156.909273662598,157.422051510336
0.5,0,0,20,196.337972094313,197.092127757134
0.6,0,0,20,235.791009778278,236.787479868306
0.7,0,0,20,275.257920172064,276.497218484274
0.8,0,0,20,314.733963886116,316.215920808871
0.899999999999999,0,0,20,354.215249124898,355.940583468433
1,0,0,20,393.70046445366,395.669408878049
1.1,0,0,20,433.188711805731,435.40125534021
1.2,0,0,20,472.679520033697,475.135419825211
1.3,0,0,20,512.17164751142,514.871263332185
1.4,0,0,20,551.665098554064,554.608467870442
1.5,0,0,20,591.15957615353,594.346758872633
1.6,0,0,20,630.654943583164,634.086809457159
1.7,0,0,20,670.150986133928,673.826704425838
1.8,0,0,20,709.647647876821,713.567200684721
1.9,0,0,20,749.144804193189,753.308201771989
2,0,0,20,788.642683564189,793.049630616552
2.1,0,0,20,828.140627324726,832.791364173809
2.2,0,0,20,867.638880677477,872.533472705333
2.3,0,0,20,907.137402835925,912.2758534559
2.4,0,0,20,946.6361598445,952.018471299826
2.5,0,0,20,986.135272624531,991.761296777276
2.6,0,0,20,1025.6344193413,1031.50430494063
2.7,0,0,20,1065.13411731413,1071.24747456565
2.8,0,0,20,1104.63356353749,1110.99078746525
2.9,0,0,20,1144.13318328464,1150.73422792907
3,0,0,20,1183.63345624921,1190.47778239635
3.1,0,0,20,1223.13325012663,1230.22149570468
3.2,0,0,20,1262.6331382517,1269.96524409576
3.3,0,0,20,1302.13311181449,1309.70942430952
3.4,0,0,20,1341.63316302034,1349.45440743757
3.5,0,0,20,1381.13328497288,1389.19838074873
3.6,0,0,20,1420.63347153682,1428.94241527913
3.7,0,0,20,1460.13371724112,1468.68650540168
3.8,0,0,20,1499.63401720163,1508.43064609389
3.9,0,0,20,1539.1347872849,1548.1748327962
4,0,0,20,1578.63518807242,1587.91906145853
4.1,0,0,20,1618.13563115484,1627.66332838233
4.2,0,0,20,1657.63611330069,1667.40763024558
4.3,0,0,20,1697.1367987941,1707.15196404957
4.4,0,0,20,1736.63735137549,1746.89632702224
4.5,0,0,20,1776.13805821254,1786.64071668237
4.6,0,0,20,1815.638666602,1826.38513072067
4.7,0,0,20,1855.13930184763,1866.1295670655
4.8,0,0,20,1894.63996208676,1905.87402380918
4.9,0,0,20,1934.1410186457,1945.61855584618
5,0,0,20,1973.6417222715,1985.36304821749
